[ Mon Jul 16 14:49:11 JST 2018 (update every 15 minits)]
Job-ID     prior   name       user       jclass               submit time         estimate start time
---------- ------- ---------- ---------- -------------------- ------------------- ------------------
5425       0.54947 smb        fj-okada   smb.A                2018/07/16 12:12:28 2018/07/17 00:39:24
5755       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:19 2018/07/17 00:48:20
5756       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:19 2018/07/17 00:48:21
5757       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:20 2018/07/17 00:48:22
5759       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:20 2018/07/17 00:48:23
5761       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:20 2018/07/17 00:48:25
5762       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:20 2018/07/17 00:48:28
5763       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:21 2018/07/17 00:48:28
5764       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:21 2018/07/17 00:48:29
5766       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:21 2018/07/17 00:48:29
5768       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:21 2018/07/17 00:48:29
5769       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:22 2018/07/17 00:48:29
5770       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:22 2018/07/17 00:48:30
5771       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:22 2018/07/17 00:48:33
5772       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:22 2018/07/17 00:48:35
5773       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:23 2018/07/17 00:48:35
5774       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:23 2018/07/17 00:48:36
5775       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:23 2018/07/17 00:48:36
5776       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:23 2018/07/17 00:48:37
5777       0.55191 HybridJ    fj-okada   dma.A                2018/07/16 14:39:24 2018/07/17 00:48:39
5783       0.55923 smb        fj-okada   sma.D                2018/07/16 14:40:06 2018/07/17 00:40:03
5785       0.55923 smb        fj-okada   sma.D                2018/07/16 14:40:26 2018/07/17 00:40:05
